title,image_url,page_url,description
Fallout,https://iwant.games/wp-content/uploads/fallout-thumb-400x600.jpg,https://iwant.games/fallout/,"Fallout 1 («Fallout: A Post Nuclear Role Playing Game») — одиночная ролевая игра с изометрической камерой в сеттинге мрачного постапокалиптического будущего о выходце из Убежища 13, которому предстоит спасти своё поселение от смерти, первая игра в серии Fallout."
Need for Speed 3: Hot Pursuit,https://iwant.games/wp-content/uploads/need-for-speed-3-hot-pursuit-thumb-400x600.jpg,https://iwant.games/need-for-speed-3-hot-pursuit/,"Need for Speed III: Hot Pursuit (рус. «Жажда скорости 3: По горячим следам») — третья игра в серии гоночных симуляторов NFS от Electronic Arts. Графика игры значительно улучшилась по-сравнению со второй частью и стала более реалистичной, а отличительной особенностью стало введение нового режима «Погони», где игрок сможет сыграть за полицейскую машину и гоняться за нарушителями. "
StarCraft,https://iwant.games/wp-content/uploads/starcraft-thumb-400x600.jpg,https://iwant.games/starcraft/,"StarCraft — научно-фантастическая стратегия в реальном времени, действие которой разворачивается в 2499 году, а сюжет построен вокруг противостояния 3 космических рас: терранов (людей), протоссов и зергов. Каждая обладает своими уникальными юнитами, постройками, способностями и стратегией развития, при это все они идеально сбалансированы."
Commandos: Behind Enemy Lines,https://iwant.games/wp-content/uploads/commandos-behind-enemy-lines-thumb-400x600.jpg,https://iwant.games/commandos-behind-enemy-lines/,"Commandos: Behind Enemy Lines (рус. «Коммандос: В тылу врага») — тактическая стратегия в реальном времени, действие которой разворачивается во времена Второй мировой войны. "
Fallout 2,https://iwant.games/wp-content/uploads/fallout-2-thumb-400x600.jpg,https://iwant.games/fallout-2/,"Fallout 2 («Fallout 2: A Post Nuclear Role Playing Game») — одиночная ролевая игра с изометрическим видом в постапокалиптическом мире будущего, вторая игра в серии Fallout."
Grim Fandango,https://iwant.games/wp-content/uploads/grim-fandango-thumb-400x600.jpg,https://iwant.games/grim-fandango/,"Grim Fandango — приключенческая головоломка, действие которой разворачивается в загробном мире, где умершие направляются в Девятый мир, но не всё так просто. Чтобы успешно туда пройти, нужно заплатить определённую сумму, которая складывается из добрых дел, совершенных при жизни. Если всё в порядке — вы отправитесь на Девятом экспрессе прямо к цели, а если нет — придётся работать и после смерти."
Half-Life,https://iwant.games/wp-content/uploads/half-life-thumb-400x600.jpg,https://iwant.games/half-life/,"Half-Life (рус. ""Период полураспада"") – это классический шутер от первого лица, который внес много нового в жанр 3d action. В игре вам предстоит отстреливать инопланетных пришельцев, а также воевать со спецназом и секретными отрядами."
StarCraft: Brood War,https://iwant.games/wp-content/uploads/starcraft-brood-war-thumb-400x600.jpg,https://iwant.games/starcraft-brood-war/,"StarCraft: Brood War — дополнение к стратегии в реальном времени StarCraft, продолжающее сюжетную историю оригинальной игры и добавляя новый контент в игру."
Heroes of Might & Magic 3,https://iwant.games/wp-content/uploads/heroes-of-might-and-magic-3-thumb-400x600.jpg,https://iwant.games/heroes-of-might-and-magic-3/,"Heroes of Might and Magic 3 — пошаговая стратегия, легендарная 3-я часть серии Героев Меча и Магии."
Need for Speed: High Stakes,https://iwant.games/wp-content/uploads/need-for-speed-4-high-stakes-thumb-400x600.jpg,https://iwant.games/need-for-speed-4-high-stakes/,"Need for Speed 4: High Stakes (NFS: Road Challenge, рус. «Жажда скорости: Высокие ставки») — следующая игра в гоночной серии Need for Speed с улучшенной графикой, физикой и новым режимом «Карьера», где игроку предстоит зарабатывать деньги за успешные гонки, чтобы: ремонтировать машину (да, повреждения теперь учитываются), покупать новые запчасти, тюнинговать тачку, и, конечно же, копить на машину более «крутого» класса. "
Commandos: Beyond the Call of Duty,https://iwant.games/wp-content/uploads/commandos-beyond-the-call-of-duty-thumb2-400x600.jpg,https://iwant.games/commandos-beyond-the-call-of-duty/,"Commandos: Beyond the Call of Duty — дополнение к тактической стратегии в реальном времени Commandos: Behind Enemy Lines, действие которого также разворачивается во времена Второй мировой войны. "
Dungeon Keeper 2,https://iwant.games/wp-content/uploads/dungeon-keeper-2-thumb-400x600.jpg,https://iwant.games/dungeon-keeper-2/,"Dungeon Keeper 2 — продолжение стратегии в реальном времени, действие которой разворачивается в фэнтезийной вселенной под землёй. Игроку как и в оригинальной игре Dungeon Keeper 1997 года предстоит выступить в роли хранителя подземелья, обустраивая своё подземное царство и захватывая новые земли. Графика в игре стала полностью трёхмерной, более современной и красочной, но соответствующей мрачной атмосфере подземелья."
Re-Volt,https://iwant.games/wp-content/uploads/re-volt-thumb-400x600.jpg,https://iwant.games/re-volt/,"Re-Volt (Revolt) — аркадная гоночная игра, где игроку предстоит сражаться с другими гонщиками на маленьких игрушечных машинках. Каждый матч представляет собой кольцевую гонку в интересной тематической локации (на улице, в музее, в супермаркете и т.д.), а на самом уровне разбросаны бонусы и оружие (молния, ракеты, масляное пятно, ускорение и т.д.), которым можно атаковать и всячески замедлять оппонента."
System Shock 2,https://iwant.games/wp-content/uploads/system-shock-2-thumb-400x600.jpg,https://iwant.games/system-shock-2/,"System Shock 2 – компьютерная игра для ПК, выпущенная в 1999 году и совмещающая жанры шутера от первого лица, RPG и survival horror. Является продолжением игры System Shock, которая вышла в 1994 году. На этот раз главному герою предстоит выжить на борту космического корабля «Фон Браун» и помериться силами с искусственными интеллектами Shodan и Xerxes."
Planescape: Torment,https://iwant.games/wp-content/uploads/planescape-torment-thumb-400x600.jpg,https://iwant.games/planescape-torment/,"Planescape: Torment — одиночная ролевая игра, созданная на основе настольной игры Dungeons & Dragons. Игра расскажет удивительную историю героя, у которого после реинкарнации появилась возможность изменить судьбу мира, в котором он возродился. История героя по имени Безымянный начинается с формирования его характеристик, в зависимости от которых, в дальнейшем появятся вариации действий, после чего проснувшись в морге и познакомившись с летающим черепом, он начинает путь в огромный мир, исследовав который, попытается найти причины своего бессмертия. "
NOX,https://iwant.games/wp-content/uploads/nox-thumb-400x600.jpg,https://iwant.games/nox/,"NOX — ролевой экшен с изометрической камерой в духе серии Diablo, действие которого разворачивается в фэнтезийном мире Средневековья. "
Need for Speed: Porsche Unleashed,https://iwant.games/wp-content/uploads/need-for-speed-porsche-unleashed-thumb-400x600.jpg,https://iwant.games/need-for-speed-porsche-unleashed/,"Need for Speed 5: Porsche Unleashed (рус. «Жажда скорости: Беспредел на Порше») — аркадный гоночный симулятор езды на машинах, пятая игра в серии NFS, главной особенностью которой является наличие в игре исключительно автомобилей марки Porsche."
Diablo 2,https://iwant.games/wp-content/uploads/diablo-2-thumb-468x702.jpg,https://iwant.games/diablo-2/,"Diablo II – популярная компьютерная action/RPG игра в жанре hack and slash, являющаяся продолжением культовой Diablo, выпущенной в 1996 году."
Zeus: Master of Olympus,https://iwant.games/wp-content/uploads/zeus-master-of-olympus-thumb-400x600.jpg,https://iwant.games/zeus-master-of-olympus/,"Zeus: Master of Olympus — градостроительная экономическая стратегия в реальном времени, посвящённая Древней Греции и её мифологии. Игроку предстоит возглавить строительство города, начиная от жилых кварталов, инфраструктуры, сельскохозяйственных и промышленных предприятий, заканчивая храмами для богов. "
Казаки: Европейские войны,https://iwant.games/wp-content/uploads/cossacks-european-wars-thumb-468x702.jpg,https://iwant.games/cossacks-european-wars/,"Казаки: Европейские войны — стратегическая игра в реальном времени, посвященная реконструкции европейских войн XVI-XVIII веков. Помимо обучения, существуют случайные миссии, кампании и одиночные миссии. Игроку предстоит пройти через три столетия и повести за собой многочисленную армию, участвуя в войнах на стороне выбранной державы. В игре присутствуют более 16 стран, у каждой из которых есть преимущества и недостатки, основанные на исторических фактах."
RuneScape,https://iwant.games/wp-content/uploads/runescape-thumb-400x600.jpg,https://iwant.games/runescape/,"RuneScape – фэнтезийная MMORPG с видом от третьего лица, где игрок свободно путешествует по разным игровым мирам, сражаясь с монстрами, вступая в схватки с другими персонажами или осваивая мирные навыки."
Gothic,https://iwant.games/wp-content/uploads/gothic-thumb-400x600.jpg,https://iwant.games/gothic/,"Gothic 1 – это классическая RPG-игра, которая познакомила геймеров с удивительным миром, который населяют не только люди. Проект завоевал признание у тысяч критиков и пользователей, став одной из самых известных и культовых ролевых проектов, на которые ровнялись многие современные аналоги."
Poseidon: Master of Atlantis,https://iwant.games/wp-content/uploads/poseidon-master-of-atlantis-thumb-400x600.jpg,https://iwant.games/poseidon-master-of-atlantis/,"Poseidon: Master of Atlantis (Zeus Official Expansion: Poseidon) — дополнение к градостроительной стратегии Zeus: Master of Olympus, добавляющее в игру новый контент."
Commandos 2: Men of Courage,https://iwant.games/wp-content/uploads/commandos-2-men-of-courage-thumb-400x600.jpg,https://iwant.games/commandos-2-men-of-courage/,"Commandos 2: Men of Courage (рус. «Награда за смелость») — тактическая стратегия в реальном времени в сеттинге Второй мировой войны, вторая игра в серии Commandos. Игроку по-прежнему предстоит управлять отрядом уникальных элитных бойцов и выполнять секретные миссии по подрыву планов Третьего рейха. "
Stronghold,https://iwant.games/wp-content/uploads/stronghold-thumb-400x600.jpg,https://iwant.games/stronghold/,"Stronghold — стратегия в реальном времени, действие которой разворачивается в эпоху Средневековья в 1066 году. Игроку предстоит построить свой собственный замок, заняться сельским хозяйством, наладить добычу полезных ископаемых и производство оружия и снаряжения для создания своей армии. У каждого игрока или компьютера есть главный юнит — король, убийство которого приводит к поражению."
Grand Theft Auto 3,https://iwant.games/wp-content/uploads/grand-theft-auto-3-thumb-400x600.jpg,https://iwant.games/grand-theft-auto-3/,"Grand Theft Auto III – первая трехмерная версия игры в серии GTA, которая из банальной автомобильной аркады переросла в популярную до сих пор классику. Огромный город Либерти-сити наполнен жизнью – торговцы, разносчики пиццы, наряды полиции, спешащие по делам люди."
Harry Potter and the Philosopher’s Stone,https://iwant.games/wp-content/uploads/harry-potter-and-the-philosophers-stone-thumb-400x600.jpg,https://iwant.games/harry-potter-and-the-philosophers-stone/,"Harry Potter and the Philosopher’s Stone (рус. «Гарри Поттер и Философский Камень») — приключенческий экшен-платформер от 3-го лица во вселенной «Гарри Поттера». Игроку предстоит сыграть за юного мальчика Гарри Поттера, который поступает в Школу Чародейства и Волшебства Хогвартс."
Heroes of Might & Magic 4,https://iwant.games/wp-content/uploads/heroes-4-logo.jpg,https://iwant.games/heroes-of-might-and-magic-4/,Heroes of Might and Magic 4 - четвертая часть серии игр Герои Меча и Магии.
Warcraft 3: Reign of Chaos,https://iwant.games/wp-content/uploads/warcraft-3-reign-of-chaos-thumb-400x600.jpg,https://iwant.games/warcraft-3-reign-of-chaos/,"WarCraft 3: Reign of Chaos — стратегия в реальном времени в фэнтезийной вселенной Варкрафта, продолжение стратегической серии. Действие игры разворачивается спустя 12 лет после событий дополнения Warcraft II: Beyond the Dark Portal во времена вторжения армии демонов Пылающего Легиона. Альянсу и Орде предстоит объединиться, чтобы дать отпор захватчикам."
The Thing,https://iwant.games/wp-content/uploads/the-thing-thumb-400x600.jpg,https://iwant.games/the-thing/,"The Thing: Remastered — научно-фантастический экшен-хоррор от 3-го лица, действие которого разворачиваются после финала фильма ужасов «Нечто» (1982) Джона Карпентера. В оригинальном фильме учёные обнаруживают замороженного инопланетянина, который очнувшись, приобретает форму людей и постепенно уничтожает их один за одним. "
Mafia,https://iwant.games/wp-content/uploads/mafia-thumb-400x600.jpg,https://iwant.games/mafia/,"Mafia: The City of Lost Heaven (рус. «Мафия: Город потерянного рая») – компьютерная игра в жанре шутера с элементами автосимулятора. Игроку предстоит выполнить ряд миссий, чтобы доказать свою лояльность мафиозному клану."
Stronghold: Crusader,https://iwant.games/wp-content/uploads/stronghold-crusader-thumb-400x600.jpg,https://iwant.games/stronghold-crusader/,"Stronghold: Crusader — продолжение популярной средневековой стратегии в реальном времени Stronghold (2001), сюжет которой посвящён крестовым походам на Ближнем Востоке. Игра содержит 4 исторические и 1 особую сюжетную кампанию, одиночные сценарии, мультиплеерный режим и редактор карт."
Need for Speed: Hot Pursuit 2,https://iwant.games/wp-content/uploads/need-for-speed-hot-pursuit-2-thumb-400x600.jpg,https://iwant.games/need-for-speed-hot-pursuit-2/,"Need for Speed: Hot Pursuit 2 (рус. «Жажда скорости: По горячим следам 2») — шестая игра в гоночной серии Need for Speed. Игра также как и третья часть концентрируется на полицейских погонях, при этом игрок сможет сыграть как за нарушителя, так и за полицейского."
Grand Theft Auto: Vice City,https://iwant.games/wp-content/uploads/gta-vice-city-thumb-400x600.jpg,https://iwant.games/grand-theft-auto-vice-city/,"GTA: Vice City – одиночный приключенческий боевик с элементами автосимулятора, вторая по популярности игра в серии Grand Theft Auto, после San Andreas. События разворачиваются на теплом побережье штата Флорида в 80-е годы."
Age of Mythology,https://iwant.games/wp-content/uploads/age-of-mythology-thumb-400x600.jpg,https://iwant.games/age-of-mythology/,"Age of Mythology — историческая стратегия в реальном времени с упором на мифологию, спин-офф серии Age of Empires. Игроку предстоит заниматься строительством базы, сбором ресурсов и развитием экономики, наймом войск и сражениями с другими народами. "
Harry Potter and the Chamber of Secrets,https://iwant.games/wp-content/uploads/harry-potter-and-the-chamber-of-secrets-thumb-400x600.jpg,https://iwant.games/harry-potter-and-the-chamber-of-secrets/,"Harry Potter and the Chamber of Secrets (рус. «Гарри Поттер и Тайная Комната») — приключенческий экшен от 3-го лица, созданный на основе второй книги приключений юного волшебника. Игроков ждут новые локации, новые заклинания, новые враги и боссы, а также множество тайников, спрятанных по всей школе Хогвартс. "
Tom Clancy’s Splinter Cell,https://iwant.games/wp-content/uploads/tom-clancys-splinter-cell-thumb-400x600.jpg,https://iwant.games/tom-clancys-splinter-cell/,"Tom Clancy's Splinter Cell — стелс-экшен от 3-го лица про секретного агента АНБ Сэма Фишера, которому предстоит выполнять опасные миссии, оставаясь незамеченным, первая игра в серии Splinter Cell. "
Star Wars: Bounty Hunter,https://iwant.games/wp-content/uploads/star-wars-bounty-hunter-thumb-400x600.jpg,https://iwant.games/star-wars-bounty-hunter/,"Star Wars: Bounty Hunter — приключенческий экшен от 3-го лица во вселенной Звёздных Войн, где в качестве главного героя выступает наёмник и охотник за головами — Джанго Фетт. Игрокам предстоит розыскать падшего джедая Комари Воса, а также сразиться с множеством противников, используя «крутые» гаджеты и оружие, и, конечно же, полетать с помощью реактивного ранца."
Impossible Creatures,https://iwant.games/wp-content/uploads/impossible-creatures-thumb-400x600.jpg,https://iwant.games/impossible-creatures/,"Impossible Creatures — стратегия в реальном времени в научно-фантастическом сеттинге, главной особенностью которой является скрещивание ДНК животных, позволяющее создавать уникальные юниты — невероятные и невозможные существа (отсюда и название). "
EVE Online,https://iwant.games/wp-content/uploads/eve-online-thumb-400x600.jpg,https://iwant.games/eve-online/,"EVE Online – это космическая песочница, в которой десятки тысяч игроков занимаются исследованием безграничных космических пространств. Новый Эдем – опасное место, но каждый сможет отыскать в нем свой путь."
Gothic 2,https://iwant.games/wp-content/uploads/gothic-2-thumb-400x600.jpg,https://iwant.games/gothic-2/,"Gothic 2 – это прямое продолжение первой части, в которой нам предстояло вершить судьбу жителей королевства Миртана. Сиквел выполнен в том же сеттинге и жанре и представляет собой приключенческую RPG с глубокой системой прокачки и проработанным сюжетом."
Warcraft 3: The Frozen Throne,https://iwant.games/wp-content/uploads/warcraft-3-the-frozen-throne-thumb-400x600.jpg,https://iwant.games/warcraft-3-the-frozen-throne/,"WarCraft 3: The Frozen Throne — дополнение к стратегии Warcraft 3: Reign of Chaos, продолжение истории вселенной Варкрафта."
Star Wars: Knights of the Old Republic,https://iwant.games/wp-content/uploads/star-wars-knights-of-the-old-republic-thumb-400x600.jpg,https://iwant.games/star-wars-knights-of-the-old-republic/,"Star Wars: Knights of the Old Republic — однопользовательская приключенческая RPG с видом от третьего лица. Путешествуя по вселенной «Звёздных Войн», главный герой совершенствует свои навыки и участвует в разнообразных миссиях. Кем стать – героем или злодеем – зависит только от его решений."
Commandos 3: Destination Berlin,https://iwant.games/wp-content/uploads/commandos-3-destination-berlin-thumb-400x600.jpg,https://iwant.games/commandos-3-destination-berlin/,"Commandos 3: Destination Berlin (рус. «Пункт назначения – Берлин!») — тактическая стелсовая стратегия в реальном времени, где игроку предстоит сражаться с нацистами во времена Второй мировой войны, продолжение серии Commandos. Игра наследует геймплей предыдущей части и общий дух серии, за исключением некоторых нововведений."
Harry Potter: Quidditch World Cup,https://iwant.games/wp-content/uploads/harry-potter-quidditch-world-cup-thumb-400x600.jpg,https://iwant.games/harry-potter-quidditch-world-cup/,"Harry Potter: Quidditch World Cup (рус. «Гарри Поттер: Чемпионат мира по Квиддичу») — симулятор спортивной игры Квиддича из вселенной Гарри Поттера, в которой 2 команды по 7 игроков летают на мётлах и играют в нечто подобное футболу. Основной задачей в каждом матче является забрасывания мяча (квоффла) в одно из 3 колец противника, за что игрок получает 10 очков. "
Prince of Persia: The Sands of Time,https://iwant.games/wp-content/uploads/prince-of-persia-the-sands-of-time-thumb-468x702.jpg,https://iwant.games/prince-of-persia-the-sands-of-time/,"Prince of Persia: The Sands of Time – игра в жанре приключенческого экшена. Главным героем является Принц Персии, завладевший артефактом, способным управлять Песками Времени."
Beyond Good & Evil,https://iwant.games/wp-content/uploads/beyond-good-evil-thumb-400x600.jpg,https://iwant.games/beyond-good-evil/,"Beyond Good & Evil – видеоигра в жанре action-adventure с элементами аркады и квеста. В переводе на русский название переводится как «За гранью добра и зла», что очень точно передает суть сюжета. Первая часть игры была представлена на суд публики в далеком 2003-м году, и быстро завоевала популярность среди геймеров. Причин тому множество – качественная графика, продуманное управление, захватывающий геймплей."
Need for Speed: Underground,https://iwant.games/wp-content/uploads/need-for-speed-underground-thumb-400x600.jpg,https://iwant.games/need-for-speed-underground/,"Need for Speed: Underground — аркадный автогоночный симулятор, седьмая игра в популярной серии NFS, совершившая кардинальную революцию в мире гонок и вдохнувшая в серию новую жизнь. Вдохновившись кинофильмом «Форсаж» игра перешла в сеттинг уличных гонок, а игроку предстоит соревноваться за деньги и уважение в ночном городе Олимпик-Сити, чтобы в финале сразиться с лучшим гонщиком города Эдди."
Tom Clancy’s Splinter Cell: Pandora Tomorrow,https://iwant.games/wp-content/uploads/tom-clancys-splinter-cell-pandora-tomorrow-thumb-400x600.jpg,https://iwant.games/tom-clancys-splinter-cell-pandora-tomorrow/,"Tom Clancy's Splinter Cell: Pandora Tomorrow — стелсовый экшен от 3-го лица про суперагента Сэма Фишера, вторая игра в серии Splinter Cell. Игроку предстоит нейтрализовать террористов, захвативших посольство США, спасти заложников и добыть секретные сведения, способные раскрыть планы преступников и предотвратить теракты."
Painkiller,https://iwant.games/wp-content/uploads/painkiller-thumb-400x600.jpg,https://iwant.games/painkiller/,"Painkiller (рус. «Painkiller: Крещёный кровью») — классический экшен-шутер от 1-го лица, где игроку предстоит сражаться с монстрами, демонами и другой нечистой силой с помощью смертоносного и разрушительного оружия."
Red Dead Revolver,https://iwant.games/wp-content/uploads/red-dead-revolver-thumb-400x600.jpg,https://iwant.games/red-dead-revolver/,"Red Dead Revolver — приключенческий вестерн от 3-го лица с открытым миром, первая игра в серии Red Dead. Действие игры разворачивается в вымышленном городе Бримстоун США 1880-х годов. Игроку в лице охотника за головами Рэда предстоит бороться с опасными преступниками, а также найти и отомстить убийцам его родителей."
Harry Potter and the Prisoner of Azkaban,https://iwant.games/wp-content/uploads/harry-potter-and-the-prisoner-of-azkaban-thumb-400x600.jpg,https://iwant.games/harry-potter-and-the-prisoner-of-azkaban/,"Harry Potter and the Prisoner of Azkaban (рус. «Гарри Поттер и узник Азкабана») — экшен-приключение от 3-го лица, третья игра в серии игр про Гарри Поттера. По сюжету, подозреваемый в убийстве родителей Гарри — Сириус Блэк, сбегает из тюрьмы Азкабан и, вероятно, хочет расправиться с самим Гарри Поттером."
Evil Genius,https://iwant.games/wp-content/uploads/evil-genius-thumb-400x600.jpg,https://iwant.games/evil-genius/,"Evil Genius – однопользовательская стратегическая игра в жанре RTS, симулятор злого гения. Игрок берёт на себя роль злодея, стремящегося захватить мировое господство."
Need for Speed Underground 2,https://iwant.games/wp-content/uploads/need-for-speed-underground-2-thumb-400x600.jpg,https://iwant.games/need-for-speed-underground-2/,"Need for Speed Underground 2 — автомобильный гоночный симулятор, сиквел Need for Speed: Underground и восьмая игра в серии NFS. "
Half-Life 2,https://iwant.games/wp-content/uploads/half-life-2-thumb-400x600.jpg,https://iwant.games/half-life-2/,"Half-Life 2 (рус. ""Период полураспада 2"") – компьютерная игра в жанре научно-фантастического шутера от первого лица. Задача игрока – остановить деятельность Альянса, могущественного инопланетного союза."
World of Warcraft,https://iwant.games/wp-content/uploads/world-of-warcraft-thumb-400x600.jpg,https://iwant.games/world-of-warcraft/,"World of Warcraft - самая популярная MMORPG в мире, издаваемая и разработанная компанией Blizzard Entertainment. Игровые миры и тщательно прорисованные локации, множество рас и классов, динамические PvE и PvP бои, интересные квесты и ивенты с пасхалками - это все Вселенная World of Warcraft."
Star Wars: Republic Commando,https://iwant.games/wp-content/uploads/star-wars-republic-commando-thumb-400x600.jpg,https://iwant.games/star-wars-republic-commando/,"Star Wars: Republic Commando – это шутер от 1-го лица с элементами тактики, который знакомит нас с тематическими событиями, происходящими во вселенной «Звездных войн» после окончания фильма «Война клонов»."
Tom Clancy’s Splinter Cell: Chaos Theory,https://iwant.games/wp-content/uploads/tom-clancys-splinter-cell-chaos-theory-thumb-400x600.jpg,https://iwant.games/tom-clancys-splinter-cell-chaos-theory/,Tom Clancy's Splinter Cell: Chaos Theory (англ. «Tom Clancy’s Splinter Cell: Теория Хаоса») — третья игра в экшен-стелс серии Splinter Cell. Спецагент Сэм Фишер продолжает выполнять секретные задания «Третьего Эшелона» Агентства Национальной Безопасности США и на этот раз ему предстоит предотвратить нарастающий конфликт между азиатскими странами.
Казаки 2: Наполеоновские войны,https://iwant.games/wp-content/uploads/cossacks-2-napoleonic-wars-thumb-468x702.jpg,https://iwant.games/cossacks-2-napoleonic-wars/,"Казаки 2: Наполеоновские войны — военная стратегия в реальном времени, посвящённая историческому периоду войн начала 19 века между Наполеоном Бонапартом (Франция) и другими государствами Европы; продолжение знаменитой игры Казаки: Европейские войны."
Stronghold 2,https://iwant.games/wp-content/uploads/stronghold-2-thumb-400x600.jpg,https://iwant.games/stronghold-2/,"Stronghold 2 — стратегия в реальном времени про средневековые сражения со строительством и осадой замков, третья игра в серии Stronghold. В игре присутствует 2 сюжетные кампании: экономическая (со спокойным градостроением) и военная с захватом власти в Англии. Мультиплеер присутствует."
Psychonauts,https://iwant.games/wp-content/uploads/psychonauts-thumb-400x600.jpg,https://iwant.games/psychonauts/,"Psychonauts — приключенческий экшен-платформер от 3-го лица, в котором игроку предстоит сыграть за Раза (Разпутин) — новичка лагеря психонавтов. В ходе обучения он обнаруживает предателя, который похищает других кадетов с целью экспериментов над их мозгами для создания мощного пси-оружие, которое поможет поработить весь мир."
Guild Wars,https://iwant.games/wp-content/uploads/guild-wars-thumb-400x600.jpg,https://iwant.games/guild-wars/,"Guild Wars — классическая MMORPG от 3-го лица с открытым миром, действие которой разворачивается в фэнтезийном мире Тиреи, первая игра в серии Guild Wars. Игроку предстоит создать своего персонажа, выбрав расу и класс героя, выполнять квесты, сражаться с враждебными монстрами и другими игроками, повышая свой опыт и открывая доступ к новым способностям, оружию и броне."
Grand Theft Auto: San Andreas,https://iwant.games/wp-content/uploads/gta-san-andreas-thumb-400x600.jpg,https://iwant.games/gta-san-andreas/,"Динамичный экшен, множество заданий, захватывающий сюжет – все это игра Grand Theft Auto: San Andreas, в которой каждый игрок может взглянуть на обратную сторону американского мегаполиса."
Shadow of the Colossus,https://iwant.games/wp-content/uploads/shadow-of-the-colossus-thumb-400x600.jpg,https://iwant.games/shadow-of-the-colossus/,"Shadow of the Colossus (второе название «Вандер и гигантские идолы») — одиночный приключенческий экшен от 3-го лица о воине, сражающимся с огромными великанами, и преследующего цель оживить погибшую девушку."
Harry Potter and the Goblet of Fire,https://iwant.games/wp-content/uploads/harry-potter-and-the-goblet-of-fire-thumb-400x600.jpg,https://iwant.games/harry-potter-and-the-goblet-of-fire/,"Harry Potter and the Goblet of Fire (рус. «Гарри Поттер и Кубок огня») — четвертая игра о приключениях волшебника Гарри Поттера, основанная на одноимённом фильме. Игра отличается от своих предшественников: она стала более мрачной, а на смену платформеру от 3-го лица — пришёл изометрический боевик. "
